TweetID,Username,Date,Retweets,Favorites,Text,Mentions,Permalink
824371118882615301,chasetanner71,2017-01-25 16:39,0,0,Feel like people pick Jordan because Nike made us love him. E1 hates Brady because he just wins and no sponsors @BarryIsFunny @PackManJoel,@BarryIsFunny @PackManJoel,https://twitter.com/chasetanner71/status/824371118882615301
824366979763073030,montoonap,2017-01-25 16:22,0,0,"""Wear as much & as lil as u feel comfortable wearing"" ""Ok cool *is in bralette and Nike pro compression shorts*"" ""hmm mind taking that off""",,https://twitter.com/montoonap/status/824366979763073030
824353005935988738,CletusClegy,2017-01-25 15:27,0,1,When I hear Jordan when the black stars are playing what comes in mind first is jays.... I feel Nike Jordan are making boots for the players,,https://twitter.com/CletusClegy/status/824353005935988738
824346838517964801,Nannnniiii,2017-01-25 15:02,0,0,The random days at work when I have Nike everything on I feel so legit.,,https://twitter.com/Nannnniiii/status/824346838517964801
824342519911739392,Boogalu,2017-01-25 14:45,0,0,it won't feel that wrong when Nike buys taylormade in a couple months,,https://twitter.com/Boogalu/status/824342519911739392
824338968787427332,dontlook,2017-01-25 14:31,0,1,Nike was a missile before an athletics brand.... I feel like I shouldn't be surprised.,,https://twitter.com/dontlook/status/824338968787427332
824330305330966534,RunFGRC,2017-01-25 13:57,0,1,"Women's #Nike Air Zoom Vomero 12 delivers a plush, cushioned ride with a responsive feel for your fastest miles.... http:// fb.me/4pCHzSRLI",,https://twitter.com/RunFGRC/status/824330305330966534
824325499191173120,AdrianSado,2017-01-25 13:38,0,0,"Yeah, I agree. They definitely look better. Kinda has a Star Wars Stormtrooper feel . Now thinking to add the new Nike 's to the list. pic.twitter.com/dLLfUNAGTz",,https://twitter.com/AdrianSado/status/824325499191173120
824324786662809600,cab0oks,2017-01-25 13:35,0,0,idk how i feel about the nike nba uniforms,,https://twitter.com/cab0oks/status/824324786662809600
824321894052757504,MonNi_QT,2017-01-25 13:23,0,0,I need to clean my closet and my drawers to make more room for Nike and UA. I feel a shopping spree coming on,,https://twitter.com/MonNi_QT/status/824321894052757504
824318487770365963,realbuzzcom,2017-01-25 13:10,122,75,Make your 2017 workouts feel amazing #Win Nike Lunars in our FB #competition #giveaway . Click to enter >>> http:// bit.ly/2iKrB78 pic.twitter.com/YFm2UBKjQG,,https://twitter.com/realbuzzcom/status/824318487770365963
824314355898548226,krgr_nike,2017-01-25 12:53,0,1,I feel like turning up,,https://twitter.com/krgr_nike/status/824314355898548226
824309906463457281,OSUluvingirl,2017-01-25 12:36,0,1,I just completed Body Flexor 2.0 with Nike + Training Club! This is how I feel after a good workout! @nikewomen pic.twitter.com/ixxUE84qic,@nikewomen,https://twitter.com/OSUluvingirl/status/824309906463457281
824302054701223936,Lachiman,2017-01-25 12:04,6,0,Nike huarache si nunka mi no a feel,,https://twitter.com/Lachiman/status/824302054701223936
824300805897359360,EZMuhammad,2017-01-25 12:00,0,0,@NikeTraining @stance Those Prestos Feel The Best! @Nike pic.twitter.com/WWuqJXpEYZ,@NikeTraining @stance @Nike,https://twitter.com/EZMuhammad/status/824300805897359360
824298810855854082,jakemweiss,2017-01-25 11:52,0,3,I was genuinely surprised Nike stopped making clubs. I feel like a lot of people played them,,https://twitter.com/jakemweiss/status/824298810855854082
